model_type,n_components,log_likelihood,aic,bic,silhouette_score,avg_duration
GMM,2,-178480.07549728366,357282.1509945673,358286.1720560983,0.17853266540820473,1.0
KMeans,2,-122362.03802280917,9999.0,9999.0,0.18321058017180136,1.0
MSR,2,12313.706494968157,-24615.412989936314,-24577.996055966214,0.0,1.0
HMM,2,-184710.176471412,369746.352942824,370762.8463156784,0.17853266540820473,24.51298701298701
GMM,3,-148998.87519363945,298481.7503872789,299990.9000574062,0.12065762268228689,1.0
KMeans,3,-113787.94435438575,9999.0,9999.0,0.0972653555801626,1.0
MSR,3,12335.413318909596,-24646.82663781919,-24571.992769878994,0.0,1.0
HMM,3,-167072.127779881,334640.255559762,336186.82216385944,0.12065762268228689,22.205882352941178
GMM,4,-144800.46212706956,290246.9242541391,292261.2025328628,0.09357870126224459,1.0
KMeans,4,-106424.20465255188,9999.0,9999.0,0.10163946111032282,1.0
HMM,4,-158939.80459328933,318549.60918657866,320638.7213332425,0.08962305005743365,14.299242424242424
GMM,5,-138506.09757661476,277820.1951532295,280339.6020405495,0.08435820473285698,1.0
KMeans,5,-100980.16833970943,9999.0,9999.0,0.10310534592362115,1.0
HMM,5,-151640.34984030237,304128.69968060474,306772.82968115836,0.08625882540872898,13.24561403508772
GMM,6,-129162.76961488229,259295.53922976457,262320.07472568087,0.07231426392264251,1.0
KMeans,6,-97203.28450538171,9999.0,9999.0,0.09164728846794691,1.0
HMM,6,-145891.33347191964,292812.6669438393,296024.2871096061,0.06588521422613478,14.46360153256705
